Region,Month,Level,Level_ID,Level_Name,Sales,Cost,Profit,Profit_Margin,Units_Sold,Notes
US,2025-08,Region,New York,New York,,,,,
US,2025-08,Region,Los Angeles,Los Angeles,,,,,
US,2025-08,Region,Chicago,Chicago,,,,,
US,2025-08,Store,US-001,US-001,,,,,
US,2025-08,Store,US-002,US-002,,,,,
US,2025-08,Store,US-003,US-003,,,,,
US,2025-09,Brand,Dune,Dune,,,,,
US,2025-09,Category,Footwear,Footwear,,,,,
US,2025-09,Category,Bags,Bags,,,,,
US,2025-09,Category,Accessories,Accessories,,,,,
US,2025-09,Region,New York,New York,,,,,
US,2025-09,Region,Los Angeles,Los Angeles,,,,,
US,2025-09,Region,Chicago,Chicago,,,,,
US,2025-09,Store,US-001,US-001,,,,,
US,2025-09,Store,US-002,US-002,,,,,
US,2025-09,Store,US-003,US-003,,,,,
US,2025-10,Brand,Dune,Dune,,,,,
US,2025-10,Category,Footwear,Footwear,,,,,
US,2025-10,Category,Bags,Bags,,,,,
US,2025-10,Category,Accessories,Accessories,,,,,
US,2025-10,Region,New York,New York,,,,,
US,2025-10,Region,Los Angeles,Los Angeles,,,,,
US,2025-10,Region,Chicago,Chicago,,,,,
US,2025-10,Store,US-001,US-001,,,,,
US,2025-10,Store,US-002,US-002,,,,,
US,2025-10,Store,US-003,US-003,,,,,
US,2025-11,Brand,Dune,Dune,,,,,
US,2025-11,Category,Footwear,Footwear,,,,,
US,2025-11,Category,Bags,Bags,,,,,
US,2025-11,Category,Accessories,Accessories,,,,,
US,2025-11,Region,New York,New York,,,,,
US,2025-11,Region,Los Angeles,Los Angeles,,,,,
US,2025-11,Region,Chicago,Chicago,,,,,
US,2025-11,Store,US-001,US-001,,,,,
US,2025-11,Store,US-002,US-002,,,,,
US,2025-11,Store,US-003,US-003,,,,,
US,2025-12,Brand,Dune,Dune,,,,,
US,2025-12,Category,Footwear,Footwear,,,,,
US,2025-12,Category,Bags,Bags,,,,,
US,2025-12,Category,Accessories,Accessories,,,,,
US,2025-12,Region,New York,New York,,,,,
US,2025-12,Region,Los Angeles,Los Angeles,,,,,
US,2025-12,Region,Chicago,Chicago,,,,,
US,2025-12,Store,US-001,US-001,,,,,
US,2025-12,Store,US-002,US-002,,,,,
US,2025-12,Store,US-003,US-003,,,,,
US,2026-01,Brand,Dune,Dune,,,,,
US,2026-01,Category,Footwear,Footwear,,,,,
US,2026-01,Category,Bags,Bags,,,,,
US,2026-01,Category,Accessories,Accessories,,,,,
US,2026-01,Region,New York,New York,,,,,
US,2026-01,Region,Los Angeles,Los Angeles,,,,,
US,2026-01,Region,Chicago,Chicago,,,,,
US,2026-01,Store,US-001,US-001,,,,,
US,2026-01,Store,US-002,US-002,,,,,
US,2026-01,Store,US-003,US-003,,,,,
US,2026-02,Brand,Dune,Dune,,,,,
US,2026-02,Category,Footwear,Footwear,,,,,
US,2026-02,Category,Bags,Bags,,,,,
US,2026-02,Category,Accessories,Accessories,,,,,
US,2026-02,Region,New York,New York,,,,,
US,2026-02,Region,Los Angeles,Los Angeles,,,,,
US,2026-02,Region,Chicago,Chicago,,,,,
US,2026-02,Store,US-001,US-001,,,,,
US,2026-02,Store,US-002,US-002,,,,,
US,2026-02,Store,US-003,US-003,,,,,
